repository_language,active_repos_by_name,active_repos_by_url,year,quarter
Objective-C,40891,58460,2014,2
C++,65213,91602,2014,2
JavaScript,263249,378712,2014,2
Python,124860,195631,2014,2
LiveScript,302,382,2014,2
Puppet,3287,6489,2014,2
Ruby,104459,192945,2014,2
C#,44987,57243,2014,2
Erlang,2992,4701,2014,2
Matlab,4674,5828,2014,2
VimL,5843,24297,2014,2
Java,173838,226934,2014,2
PHP,111328,163853,2014,2
C,58979,96106,2014,2
Common Lisp,1598,1932,2014,2
TeX,8942,11525,2014,2
Rust,1103,2171,2014,2
Haskell,6805,10075,2014,2
Emacs Lisp,3611,9165,2014,2
R,13385,36539,2014,2
CSS,121103,149270,2014,2
Go,13436,21612,2014,2
SQL,1981,2297,2014,2
CoffeeScript,11690,16191,2014,2
TypeScript,2197,3619,2014,2
Arduino,4308,5008,2014,2
Perl,14112,18965,2014,2
Propeller Spin,11,27,2014,2
Groovy,5275,6350,2014,2
Cuda,198,228,2014,2
Shell,37813,70262,2014,2
Tcl,555,644,2014,2
Objective-C++,401,553,2014,2
Lua,6103,8545,2014,2
Julia,910,1521,2014,2
Scheme,1305,1904,2014,2
Assembly,1853,2267,2014,2
Vala,252,339,2014,2
Clojure,6123,8716,2014,2
Haxe,998,1520,2014,2
D,1669,2370,2014,2
Logos,342,440,2014,2
ActionScript,3001,3485,2014,2
BlitzBasic,177,299,2014,2
Ceylon,32,45,2014,2
Elixir,652,1122,2014,2
Visual Basic,2122,2424,2014,2
XSLT,1571,2168,2014,2
Scala,8636,13410,2014,2
Dart,1461,2017,2014,2
FORTRAN,1101,1393,2014,2
XML,84,90,2014,2
AutoHotkey,393,496,2014,2
Verilog,637,738,2014,2
F#,871,1209,2014,2
ASP,1598,1739,2014,2
AspectJ,63,65,2014,2
PowerShell,1874,2386,2014,2
Kotlin,105,125,2014,2
Apex,445,510,2014,2
Objective-J,68,101,2014,2
Standard ML,222,289,2014,2
DM,119,435,2014,2
OCaml,1397,1968,2014,2
nesC,217,315,2014,2
Pascal,1114,1258,2014,2
Max,297,317,2014,2
SourcePawn,123,142,2014,2
Processing,1944,2244,2014,2
Arc,35,47,2014,2
Perl,10485,12864,2014,3
R,9893,21778,2014,3
Ruby,74001,117021,2014,3
JavaScript,185449,239985,2014,3
Python,89043,118313,2014,3
PHP,82340,110896,2014,3
C#,28962,35426,2014,3
Java,108215,139610,2014,3
CSS,87061,102652,2014,3
C,38184,56997,2014,3
Go,11735,15621,2014,3
C++,44401,59944,2014,3
Objective-C,29458,37122,2014,3
Elixir,640,871,2014,3
Shell,29689,49670,2014,3
TypeScript,1498,2052,2014,3
Lua,4812,6028,2014,3
XSLT,1152,1500,2014,3
Julia,756,1041,2014,3
VimL,4692,16761,2014,3
CoffeeScript,8508,11124,2014,3
Rust,1216,1987,2014,3
Xtend,70,77,2014,3
Standard ML,114,133,2014,3
Haskell,4713,6032,2014,3
Scala,6032,8458,2014,3
Emacs Lisp,2568,6310,2014,3
Matlab,3150,3445,2014,3
Pascal,747,816,2014,3
Scheme,958,1336,2014,3
Nix,50,159,2014,3
Dart,1031,1262,2014,3
OCaml,950,1300,2014,3
TeX,5555,6852,2014,3
Puppet,2292,4110,2014,3
Groovy,4237,4572,2014,3
Swift,3660,4327,2014,3
PureScript,93,119,2014,3
F#,617,794,2014,3
Arduino,2995,3216,2014,3
FORTRAN,748,895,2014,3
Assembly,1528,1695,2014,3
Erlang,2133,3033,2014,3
Haxe,671,833,2014,3
Eiffel,57,86,2014,3
PowerShell,1471,1825,2014,3
Vala,205,265,2014,3
Tcl,555,590,2014,3
DM,76,265,2014,3
D,1072,1420,2014,3
AutoHotkey,306,361,2014,3
Pike,14,15,2014,3
Objective-C++,365,418,2014,3
Clojure,3938,5696,2014,3
Gosu,125,144,2014,3
ASP,844,880,2014,3
ActionScript,1897,2140,2014,3
GAP,52,73,2014,3
SuperCollider,51,54,2014,3
VHDL,549,582,2014,3
BlitzBasic,146,210,2014,3
Visual Basic,1618,1664,2014,3
Scilab,36,37,2014,3
ATS,13,28,2014,3
COBOL,30,43,2014,3
DOT,59,64,2014,3
Propeller Spin,31,53,2014,3
Mathematica,229,248,2014,3
Coq,121,152,2014,3
SourcePawn,130,144,2014,3
OpenEdge ABL,157,187,2014,3
Common Lisp,1055,1214,2014,3
MoonScript,41,47,2014,3
nesC,132,174,2014,3
Ruby,99274,190694,2014,1
CSS,103178,132699,2014,1
Go,10715,17677,2014,1
JavaScript,216424,308478,2014,1
Java,156329,206923,2014,1
Objective-C,41129,55376,2014,1
PHP,107717,157369,2014,1
C,55225,91721,2014,1
Python,113860,169224,2014,1
Perl,13831,18513,2014,1
Shell,36570,66943,2014,1
C#,39931,49755,2014,1
TeX,7473,10161,2014,1
Haskell,6040,8596,2014,1
C++,56653,84468,2014,1
Dart,1561,2233,2014,1
R,11698,17939,2014,1
CoffeeScript,10529,14155,2014,1
VimL,5612,23144,2014,1
Scala,8135,11497,2014,1
Emacs Lisp,3411,9444,2014,1
Arduino,3885,4394,2014,1
PowerShell,1371,1881,2014,1
DM,94,369,2014,1
Lua,5958,8222,2014,1
Clojure,5733,8846,2014,1
Puppet,3374,6994,2014,1
Processing,1825,2244,2014,1
Julia,789,1363,2014,1
Verilog,570,645,2014,1
FORTRAN,1051,1429,2014,1
BlitzBasic,168,274,2014,1
Rust,744,1433,2014,1
Scheme,1219,1742,2014,1
Groovy,3566,4470,2014,1
Erlang,2744,4534,2014,1
ASP,1311,1435,2014,1
TypeScript,2381,3967,2014,1
DOT,279,332,2014,1
Visual Basic,2004,2240,2014,1
Pascal,1026,1154,2014,1
F#,742,1110,2014,1
Matlab,3872,4400,2014,1
Common Lisp,1518,1998,2014,1
ActionScript,3030,3703,2014,1
ColdFusion,439,567,2014,1
XSLT,1260,1872,2014,1
Haxe,779,1137,2014,1
D,1544,2229,2014,1
nesC,177,278,2014,1
XML,117,127,2014,1
OCaml,1340,1958,2014,1
Logos,486,575,2014,1
OpenEdge ABL,226,264,2014,1
Apex,388,431,2014,1
Elixir,595,976,2014,1
Nimrod,89,138,2014,1
Assembly,1597,1940,2014,1
IDL,567,693,2014,1
Pure Data,184,202,2014,1
AutoHotkey,336,439,2014,1
Tcl,425,486,2014,1
VHDL,622,911,2014,1
Racket,683,835,2014,1
Augeas,11,27,2014,1
Nemerle,79,110,2014,1
Racket,676,848,2014,2
UnrealScript,72,79,2014,2
M,309,338,2014,2
Agda,105,127,2014,2
Eiffel,111,165,2014,2
OpenEdge ABL,258,300,2014,2
Idris,73,93,2014,2
ColdFusion,486,669,2014,2
IDL,726,796,2014,2
Elm,112,140,2014,2
Io,59,68,2014,2
VHDL,671,816,2014,2
Smalltalk,156,206,2014,2
XC,69,83,2014,2
Nemerle,79,116,2014,2
SuperCollider,104,109,2014,2
AppleScript,234,270,2014,3
Verilog,583,635,2014,3
Pan,10,19,2014,3
Processing,999,1119,2014,3
xBase,39,41,2014,3
Max,140,145,2014,3
Brightscript,23,28,2014,3
UnrealScript,49,51,2014,3
Prolog,251,280,2014,3
Racket,423,505,2014,3
M,156,160,2014,3
Gnuplot,69,79,2014,3
NetLogo,35,36,2014,3
Kotlin,89,98,2014,3
Nemerle,33,40,2014,3
Parrot,7,9,2014,3
Elm,75,84,2014,3
Hy,16,17,2014,3
XC,29,31,2014,3
XQuery,92,111,2014,3
SQL,206,214,2014,3
IDL,462,496,2014,3
Nimrod,84,107,2014,3
ColdFusion,359,420,2014,3
AspectJ,40,41,2014,3
AppleScript,490,604,2014,2
Prolog,342,364,2014,2
Brightscript,36,55,2014,2
Ada,174,184,2014,2
Parrot,13,19,2014,2
Perl6,72,100,2014,2
Fantom,8,8,2014,2
RobotFramework,10,11,2014,2
Squirrel,89,111,2014,2
Swift,1997,2572,2014,2
Nimrod,112,157,2014,2
Coq,192,244,2014,2
Inform 7,19,30,2014,2
Bluespec,6,8,2014,2
PureScript,65,88,2014,2
Ragel in Ruby Host,21,26,2014,2
Gosu,145,180,2014,2
REALbasic,26,39,2014,2
Mirah,8,8,2014,2
Factor,11,18,2014,2
Game Maker Language,179,198,2014,2
Grammatical Framework,5,6,2014,2
MoonScript,45,50,2014,2
Ecl,5,14,2014,2
Pike,13,13,2014,2
AutoIt,161,195,2014,2
Augeas,7,38,2014,2
CLIPS,21,22,2014,2
Xtend,92,106,2014,2
NetLogo,89,93,2014,2
Rebol,138,165,2014,2
Lasso,45,108,2014,2
Zephir,8,9,2014,2
Scilab,76,85,2014,2
COBOL,30,42,2014,2
Slash,88,99,2014,2
Brightscript,25,39,2014,1
Opa,17,17,2014,1
Io,72,98,2014,1
Dylan,50,85,2014,1
AutoIt,150,177,2014,1
SuperCollider,93,100,2014,1
LiveScript,274,360,2014,1
M,267,299,2014,1
Max,235,256,2014,1
Gosu,151,170,2014,1
LiveScript,162,178,2014,3
Factor,8,13,2014,3
Io,85,103,2014,3
Apex,311,351,2014,3
Perl6,39,56,2014,3
Rebol,51,55,2014,3
Smalltalk,125,150,2014,3
Game Maker Language,150,173,2014,3
HaXe,63,64,2014,3
Awk,130,152,2014,2
Delphi,100,103,2014,2
Dylan,27,51,2014,2
Forth,11,12,2014,2
Pure Data,196,207,2014,2
Pan,8,16,2014,2
HaXe,131,141,2014,2
xBase,46,54,2014,2
GAP,58,76,2014,2
Gnuplot,58,66,2014,2
Mercury,105,115,2014,2
SystemVerilog,52,56,2014,2
ATS,11,22,2014,2
wisp,6,8,2014,2
DOT,230,261,2014,2
XQuery,148,190,2014,2
PAWN,50,58,2014,2
SystemVerilog,45,47,2014,3
Stata,107,120,2014,3
Component Pascal,23,24,2014,3
CLIPS,11,11,2014,3
Objective-J,78,89,2014,3
Pure Data,142,150,2014,3
Cuda,221,263,2014,3
Logos,246,281,2014,3
Monkey,30,30,2014,3
BlitzMax,12,17,2014,3
Crystal,10,17,2014,3
Ada,168,177,2014,3
JSONiq,9,9,2014,3
VCL,41,48,2014,3
Glyph,6,6,2014,3
Dylan,16,29,2014,3
ANTLR,60,69,2014,2
XQuery,122,152,2014,1
Smalltalk,151,187,2014,1
Objective-J,105,158,2014,1
CLIPS,40,47,2014,1
Monkey,32,33,2014,1
Delphi,126,132,2014,1
AppleScript,395,489,2014,1
XC,67,88,2014,1
Elm,85,106,2014,1
Ada,146,161,2014,1
Agda,95,113,2014,1
REALbasic,19,33,2014,1
Mercury,74,82,2014,3
ANTLR,47,57,2014,3
Bro,32,43,2014,2
eC,4,5,2014,2
Crystal,13,19,2014,2
Alloy,31,31,2014,2
KRL,11,13,2014,2
PAWN,44,45,2014,3
Agda,69,75,2014,3
SAS,59,67,2014,3
KRL,2,2,2014,3
Bluespec,17,31,2014,3
FLUX,29,36,2014,3
Awk,86,93,2014,3
Isabelle,11,15,2014,3
Delphi,55,56,2014,3
Standard ML,233,293,2014,1
J,21,31,2014,1
Vala,218,315,2014,1
Coq,136,179,2014,1
Lasso,31,175,2014,1
HaXe,136,145,2014,1
Bro,24,32,2014,1
Parrot,17,35,2014,1
Xojo,14,16,2014,3
XML,38,41,2014,3
Idris,51,58,2014,3
Lasso,29,46,2014,3
AutoIt,121,132,2014,3
ABAP,15,20,2014,3
Dogescript,2,2,2014,3
Stata,79,96,2014,2
Glyph,17,20,2014,2
Bro,21,25,2014,3
GAMS,11,14,2014,3
Arc,21,22,2014,3
Ceylon,21,32,2014,3
Augeas,9,24,2014,3
Red,10,19,2014,3
Slash,32,35,2014,3
Slash,61,71,2014,1
Eiffel,91,133,2014,1
KRL,41,73,2014,1
Prolog,246,257,2014,1
xBase,42,49,2014,1
Kotlin,89,103,2014,1
Bluespec,5,5,2014,1
Perl6,52,75,2014,1
Nu,11,11,2014,3
Logtalk,1,1,2014,3
Frege,18,26,2014,3
Boo,20,22,2014,2
Squirrel,82,99,2014,1
Logtalk,8,16,2014,1
Factor,25,43,2014,1
Xtend,73,87,2014,1
Logtalk,3,4,2014,2
ABAP,13,16,2014,2
Self,2,4,2014,2
Ecl,6,12,2014,3
Component Pascal,6,6,2014,2
Red,8,10,2014,2
SAS,40,40,2014,2
FLUX,21,24,2014,2
XProc,11,15,2014,2
VCL,14,15,2014,2
wisp,7,24,2014,1
Glyph,16,23,2014,1
Crystal,8,17,2014,1
Frege,17,19,2014,2
JSONiq,7,7,2014,2
Java,81153,119007,2013,1
PHP,61631,92585,2013,1
VimL,4433,17782,2013,1
JavaScript,148189,201182,2013,1
C++,31483,43416,2013,1
Go,3753,5469,2013,1
Python,64761,96899,2013,1
Emacs Lisp,3077,7298,2013,1
C#,19139,26255,2013,1
Erlang,2148,3729,2013,1
Ruby,76455,134885,2013,1
Shell,17703,33250,2013,1
CoffeeScript,6341,7872,2013,1
C,34707,53650,2013,1
Haskell,3749,5418,2013,1
Objective-C,25613,33711,2013,1
Perl,10992,15611,2013,1
Lua,3238,4664,2013,1
Matlab,1453,1683,2013,1
TypeScript,170,305,2013,1
Vala,142,174,2013,1
Arduino,1475,1775,2013,1
Visual Basic,986,1070,2013,1
ActionScript,2705,3274,2013,1
Julia,235,474,2013,1
XML,408,567,2013,1
AppleScript,130,153,2013,1
Logos,349,396,2013,1
Scala,4917,7183,2013,1
Puppet,1600,3673,2013,1
Prolog,508,566,2013,1
D,838,1180,2013,1
Clojure,3421,5162,2013,1
Racket,544,686,2013,1
R,2409,2723,2013,1
Groovy,2424,3079,2013,1
PowerShell,619,829,2013,1
F#,382,489,2013,1
ASP,587,653,2013,1
ColdFusion,373,520,2013,1
Verilog,310,359,2013,1
Delphi,556,676,2013,1
AutoHotkey,181,220,2013,1
Dart,588,776,2013,1
Rust,163,362,2013,1
DCPU-16 ASM,26,38,2013,1
OCaml,727,1091,2013,1
Assembly,834,1012,2013,1
DOT,73,80,2013,1
HaXe,242,379,2013,1
Standard ML,137,170,2013,1
Objective-J,112,164,2013,1
Common Lisp,1236,1518,2013,1
VHDL,231,263,2013,1
Processing,239,279,2013,1
Scheme,660,824,2013,1
FORTRAN,468,564,2013,1
Lasso,198,260,2013,1
Nimrod,12,19,2013,1
Arc,13,20,2013,1
Haxe,141,178,2013,1
Monkey,11,13,2013,1
XQuery,92,112,2013,1
PogoScript,2,2,2013,1
Elixir,107,169,2013,1
LiveScript,42,46,2013,1
Ioke,3,3,2013,1
Nemerle,32,40,2013,1
Pure Data,100,111,2013,1
CLIPS,7,8,2013,1
Eiffel,59,95,2013,1
Ada,98,111,2013,1
Xtend,13,14,2013,1
Factor,21,33,2013,1
Apex,213,255,2013,1
Coq,95,126,2013,1
Gosu,67,72,2013,1
Scilab,44,50,2013,1
Tcl,287,318,2013,1
Logtalk,6,6,2013,1
Smalltalk,108,151,2013,1
Kotlin,43,65,2013,1
OpenEdge ABL,92,107,2013,1
Dylan,27,46,2013,1
Objective-C,14130,19342,2012,2
JavaScript,87057,121144,2012,2
ColdFusion,353,488,2012,2
C++,20625,28541,2012,2
C,24020,34172,2012,2
Ruby,58165,104888,2012,2
Shell,11388,20371,2012,2
Clojure,2694,3779,2012,2
Matlab,1193,1319,2012,2
PHP,44408,60641,2012,2
Python,46466,67815,2012,2
Java,53344,67374,2012,2
VimL,3575,13321,2012,2
ActionScript,2387,2865,2012,2
Delphi,393,457,2012,2
Scala,3917,5280,2012,2
OCaml,486,617,2012,2
Go,2098,2703,2012,2
Perl,8508,11187,2012,2
CoffeeScript,4134,5346,2012,2
C#,13419,17461,2012,2
Groovy,2016,2521,2012,2
Apex,100,125,2012,2
Ada,91,102,2012,2
Haskell,3230,4320,2012,2
Erlang,1823,3016,2012,2
Emacs Lisp,2494,5442,2012,2
Elixir,50,77,2012,2
Common Lisp,1040,1276,2012,2
Scheme,513,639,2012,2
Lua,1958,2635,2012,2
Puppet,858,1907,2012,2
R,1270,1427,2012,2
DCPU-16 ASM,64,106,2012,2
Racket,209,251,2012,2
Julia,44,83,2012,2
Arduino,750,838,2012,2
Dart,170,201,2012,2
F#,247,308,2012,2
Tcl,275,291,2012,2
Self,4,8,2013,1
Ecl,3,8,2013,1
Parrot,9,15,2013,1
PowerShell,290,406,2012,2
Assembly,583,706,2012,2
Factor,28,36,2012,2
FORTRAN,316,395,2012,2
Objective-J,102,181,2012,2
SuperCollider,70,76,2012,2
XQuery,62,73,2012,2
Visual Basic,604,644,2012,2
Prolog,348,370,2012,2
Vala,139,177,2012,2
ASP,331,343,2012,2
AutoHotkey,127,142,2012,2
D,632,862,2012,2
HaXe,317,409,2012,2
Rust,117,191,2012,2
Smalltalk,89,130,2012,2
VHDL,157,171,2012,2
Arc,22,29,2012,2
Coq,71,93,2012,2
Verilog,176,197,2012,2
Kotlin,24,27,2012,2
Turing,18,20,2012,2
Self,3,4,2012,2
Nemerle,29,45,2012,2
Eiffel,49,68,2012,2
Logtalk,4,4,2012,2
Nimrod,11,15,2012,2
Standard ML,61,65,2012,2
Pure Data,87,94,2012,2
Opa,33,36,2012,2
OpenEdge ABL,54,57,2012,2
Perl,10438,13969,2012,4
Python,58200,83062,2012,4
Clojure,3221,4978,2012,4
JavaScript,121509,164714,2012,4
Ruby,69360,116405,2012,4
C,30075,43189,2012,4
Java,74868,95600,2012,4
Lua,3138,4114,2012,4
PHP,58673,81861,2012,4
Erlang,2224,3705,2012,4
Factor,8,15,2012,4
OCaml,681,948,2012,4
C#,18047,24524,2012,4
Objective-C,20036,28264,2012,4
C++,27753,35625,2012,4
Emacs Lisp,2494,6017,2012,4
Shell,16779,28077,2012,4
Haskell,3706,5025,2012,4
D,790,1051,2012,4
Prolog,482,521,2012,4
Scala,4704,6479,2012,4
Puppet,1399,3022,2012,4
CoffeeScript,5168,6842,2012,4
ASP,522,561,2012,4
Arduino,1421,1661,2012,4
R,1995,2344,2012,4
VimL,4280,16926,2012,4
F#,326,433,2012,4
Assembly,787,949,2012,4
Tcl,241,255,2012,4
ColdFusion,372,521,2012,4
Go,3456,5224,2012,4
Groovy,2317,3052,2012,4
Visual Basic,927,992,2012,4
Racket,521,635,2012,4
HaXe,350,479,2012,4
Delphi,547,632,2012,4
ActionScript,2672,3220,2012,4
AppleScript,105,118,2012,4
Matlab,1012,1128,2012,4
FORTRAN,448,535,2012,4
Parrot,9,13,2012,4
Dart,470,634,2012,4
XQuery,64,77,2012,4
Elixir,75,121,2012,4
VHDL,230,248,2012,4
Julia,161,258,2012,4
Scheme,598,733,2012,4
Common Lisp,1188,1533,2012,4
SuperCollider,42,43,2012,4
Kotlin,46,54,2012,4
AutoHotkey,161,189,2012,4
Rust,167,313,2012,4
Fancy,6,8,2012,4
Boo,24,27,2012,4
PowerShell,567,745,2012,4
Apex,203,229,2012,4
ooc,37,46,2012,4
Objective-J,83,116,2012,4
Verilog,274,307,2012,4
OpenEdge ABL,93,101,2012,4
PHP,85112,116705,2013,3
Java,106699,152168,2013,3
JavaScript,177592,263780,2013,3
CoffeeScript,7901,10138,2013,3
Python,87983,135265,2013,3
C++,42247,59259,2013,3
Scala,6485,9323,2013,3
Ruby,90198,158695,2013,3
Objective-C,30302,39088,2013,3
Emacs Lisp,2916,7736,2013,3
C#,28303,35841,2013,3
Matlab,2605,2995,2013,3
Shell,26792,44217,2013,3
R,3965,4412,2013,3
VimL,5265,20254,2013,3
Delphi,753,847,2013,3
