repository_language,active_repos_by_name,active_repos_by_url,year,quarter
Clojure,4410,5876,2013,3
Go,7582,10957,2013,3
C,43497,64413,2013,3
Perl,12803,18403,2013,3
Prolog,738,815,2013,3
Common Lisp,1390,1723,2013,3
XSLT,953,1422,2013,3
ActionScript,3026,3515,2013,3
Groovy,2713,3366,2013,3
Logos,1187,1375,2013,3
Rust,415,887,2013,3
Julia,380,664,2013,3
TypeScript,874,1534,2013,3
Haskell,4840,6811,2013,3
PowerShell,906,1260,2013,3
Dylan,25,46,2013,3
Tcl,365,395,2013,3
Dart,878,1266,2013,3
Awk,69,76,2013,3
D,1127,1513,2013,3
AutoHotkey,297,366,2013,3
Lua,4295,5746,2013,3
F#,481,624,2013,3
XQuery,98,114,2013,3
Elixir,506,760,2013,3
Arduino,2646,2893,2013,3
Erlang,3887,5543,2013,3
FORTRAN,681,826,2013,3
Standard ML,139,186,2013,3
HaXe,176,189,2013,3
Puppet,2530,5627,2013,3
Assembly,1003,1234,2013,3
Apex,339,379,2013,3
OCaml,987,1471,2013,3
Visual Basic,1446,1787,2013,3
Scheme,1002,1333,2013,3
ASP,853,939,2013,3
Haxe,580,857,2013,3
Vala,207,268,2013,3
Forth,14,15,2013,3
Verilog,410,464,2013,3
Processing,1166,1312,2013,3
OpenEdge ABL,172,214,2013,3
Smalltalk,122,166,2013,3
Racket,734,909,2013,3
JavaScript,186172,263954,2013,2
Python,85826,121899,2013,2
C,41889,62732,2013,2
Java,103850,143713,2013,2
Ruby,92583,154755,2013,2
PHP,79127,114759,2013,2
Clojure,4255,6183,2013,2
C#,26549,35255,2013,2
ActionScript,3086,3698,2013,2
Shell,23016,40239,2013,2
VimL,5029,19020,2013,2
Scheme,858,1110,2013,2
C++,40519,53937,2013,2
Puppet,2213,4896,2013,2
Scala,6086,8607,2013,2
Matlab,2569,3043,2013,2
VHDL,343,413,2013,2
Go,5920,8267,2013,2
Perl,12441,17383,2013,2
Erlang,2442,3990,2013,2
CoffeeScript,7436,9630,2013,2
Standard ML,137,172,2013,2
Objective-C,26909,37122,2013,2
OCaml,872,1300,2013,2
DOT,207,248,2013,2
R,3381,3750,2013,2
Haskell,4559,6330,2013,2
Delphi,820,935,2013,2
Lua,3803,5471,2013,2
FORTRAN,700,815,2013,2
PowerShell,801,1111,2013,2
Assembly,1049,1228,2013,2
TypeScript,691,1298,2013,2
Haxe,507,723,2013,2
Logos,1112,1298,2013,2
F#,500,651,2013,2
Io,50,54,2013,2
Emacs Lisp,3035,7488,2013,2
Rust,308,677,2013,2
ColdFusion,445,601,2013,2
Groovy,2897,3740,2013,2
Processing,1127,1347,2013,2
Vala,182,225,2013,2
Xtend,37,43,2013,2
Awk,74,78,2013,2
Common Lisp,1411,1758,2013,2
Dart,896,1224,2013,2
XML,833,1267,2013,2
Visual Basic,1354,1486,2013,2
Arduino,2335,2765,2013,2
Elixir,235,346,2013,2
XQuery,80,98,2013,2
SuperCollider,158,178,2013,2
Julia,366,640,2013,2
AutoHotkey,272,324,2013,2
ASP,909,999,2013,2
Boo,25,30,2013,2
Coq,115,144,2013,2
Prolog,664,730,2013,2
D,988,1313,2013,2
Smalltalk,104,136,2013,2
Dylan,22,35,2013,2
Eiffel,55,73,2013,2
Gosu,73,86,2013,2
Verilog,432,494,2013,2
Rebol,29,34,2013,2
Scilab,63,71,2013,2
Apex,250,275,2013,2
Factor,14,33,2013,2
Ada,107,120,2013,2
LiveScript,118,133,2013,2
AppleScript,156,188,2013,2
Tcl,345,371,2013,2
Scilab,48,53,2012,2
Io,55,62,2012,2
Parrot,10,15,2012,2
Dylan,28,42,2012,2
Mirah,15,15,2012,2
Standard ML,81,90,2012,4
DCPU-16 ASM,34,49,2012,4
Scilab,55,60,2012,4
Coq,85,106,2012,4
Smalltalk,104,134,2012,4
Eiffel,54,77,2012,4
Ada,106,118,2012,4
Rebol,31,43,2012,4
C++,21549,31814,2012,3
JavaScript,98937,143504,2012,3
C#,14876,18881,2012,3
Java,55545,76517,2012,3
Ruby,61088,106242,2012,3
Objective-C,15867,23591,2012,3
Dylan,7,12,2012,3
PHP,53052,68081,2012,3
Shell,13582,23726,2012,3
C,23664,36550,2012,3
Python,48559,72883,2012,3
CoffeeScript,4677,6922,2012,3
Perl,11051,14636,2012,3
Go,2688,3807,2012,3
Scala,4090,5395,2012,3
Haskell,3328,4662,2012,3
Clojure,2855,4177,2012,3
VimL,3947,15560,2012,3
F#,266,326,2012,3
Erlang,1760,3004,2012,3
Matlab,880,1022,2012,3
Emacs Lisp,2772,6250,2012,3
R,1566,1796,2012,3
Groovy,2127,2602,2012,3
HaXe,356,489,2012,3
D,681,951,2012,3
Elixir,59,91,2012,3
Scheme,458,571,2012,3
ASP,398,433,2012,3
ColdFusion,382,540,2012,3
ActionScript,2430,3010,2012,3
Puppet,1098,2313,2012,3
Delphi,423,479,2012,3
Julia,47,99,2012,3
Visual Basic,754,819,2012,3
Pure Data,99,107,2012,3
OCaml,508,742,2012,3
Lua,2656,3724,2012,3
Apex,153,180,2012,3
Arduino,1050,1190,2012,3
Factor,16,25,2012,3
Standard ML,63,71,2012,3
Rust,130,244,2012,3
PowerShell,412,547,2012,3
Racket,352,418,2012,3
Coq,92,110,2012,3
Eiffel,51,64,2012,3
Dart,269,335,2012,3
FORTRAN,310,380,2012,3
Assembly,544,650,2012,3
Common Lisp,1054,1328,2012,3
Tcl,211,231,2012,3
Verilog,160,177,2012,3
VHDL,150,162,2012,3
Prolog,327,358,2012,3
Vala,151,183,2012,3
Smalltalk,86,113,2012,3
DCPU-16 ASM,16,21,2012,3
Logtalk,5,5,2012,3
Fancy,7,8,2012,3
Rebol,26,46,2012,3
Ada,49,51,2012,3
OpenEdge ABL,60,64,2012,3
Arc,8,12,2012,3
Objective-J,90,138,2012,3
JavaScript,30332,37957,2012,1
Scala,1422,1851,2012,1
OCaml,231,296,2012,1
Ruby,21860,36077,2012,1
C,9195,11552,2012,1
Java,18259,24665,2012,1
CoffeeScript,1223,1496,2012,1
Python,17770,24223,2012,1
Emacs Lisp,920,1940,2012,1
PHP,16449,20772,2012,1
Shell,4466,6841,2012,1
Verilog,79,84,2012,1
Objective-C,5017,6565,2012,1
Puppet,347,592,2012,1
Go,690,847,2012,1
C++,7919,10349,2012,1
C#,4303,5587,2012,1
R,481,536,2012,1
Common Lisp,412,469,2012,1
ColdFusion,144,183,2012,1
VimL,1672,5406,2012,1
Standard ML,36,39,2012,1
Nemerle,14,18,2012,1
Haskell,1196,1444,2012,1
Perl,2955,3431,2012,1
Groovy,661,798,2012,1
Erlang,702,1034,2012,1
Powershell,72,90,2012,1
VHDL,77,80,2012,1
Lua,683,888,2012,1
ActionScript,885,1012,2012,1
Clojure,1076,1370,2012,1
Delphi,147,160,2012,1
Matlab,382,410,2012,1
F#,110,133,2012,1
Scheme,167,206,2012,1
FORTRAN,106,132,2012,1
Vala,54,65,2012,1
Assembly,193,213,2012,1
AutoHotkey,39,42,2012,1
HaXe,108,124,2012,1
OpenEdge ABL,21,22,2012,1
D,220,303,2012,1
Arduino,189,212,2012,1
Racket,70,90,2012,1
ASP,78,80,2012,1
Tcl,47,50,2012,1
ooc,47,58,2014,1
UnrealScript,94,105,2014,1
Idris,46,52,2014,1
NetLogo,64,69,2014,1
Oxygene,45,52,2014,1
MoonScript,56,61,2014,1
Volt,5,7,2014,1
Self,10,31,2014,1
Ceylon,36,55,2014,1
Clean,14,17,2014,1
Pike,27,28,2014,1
Arc,39,51,2014,1
Ecl,6,17,2014,1
Awk,130,155,2014,1
Scilab,97,106,2014,1
M,42,46,2013,2
XSLT,371,487,2013,2
Racket,685,857,2013,2
HaXe,215,252,2013,2
Parrot,12,20,2013,2
DCPU-16 ASM,25,28,2013,2
OpenEdge ABL,139,163,2013,2
XProc,4,4,2013,2
Objective-J,109,150,2013,2
Nemerle,52,70,2013,2
Pure Data,165,183,2013,2
Turing,14,16,2013,2
Lasso,26,160,2013,2
Nimrod,31,42,2013,2
Kotlin,53,64,2013,2
Io,36,40,2012,4
Logtalk,4,4,2012,4
Vala,143,169,2012,4
Turing,8,10,2012,4
AutoHotkey,153,175,2012,3
Scilab,49,53,2012,3
Nemerle,35,50,2012,3
XQuery,73,81,2012,3
Gosu,37,44,2012,3
Io,38,43,2012,3
Nimrod,14,20,2012,3
Kotlin,39,40,2012,3
SuperCollider,61,67,2012,3
ooc,9,11,2012,3
Opa,29,35,2012,3
Parrot,7,12,2012,3
Turing,15,17,2012,3
Fantom,6,6,2012,3
Ceylon,9,13,2013,1
SuperCollider,73,83,2013,1
Bro,18,21,2013,1
Io,37,45,2013,1
Augeas,4,19,2013,1
eC,4,5,2013,1
Mirah,18,18,2013,1
Logtalk,3,4,2013,2
Arc,26,37,2013,2
Max,9,9,2013,1
Rebol,20,21,2013,1
Boo,22,26,2013,1
Shell,30457,54865,2013,4
C#,32514,39285,2013,4
Ruby,94279,171122,2013,4
C++,49741,70750,2013,4
JavaScript,186017,267148,2013,4
Java,124667,178992,2013,4
Python,97121,152704,2013,4
PHP,91489,122698,2013,4
C,52652,82011,2013,4
Objective-C,33683,44753,2013,4
CoffeeScript,8761,11941,2013,4
CSS,91964,111308,2013,4
Rust,512,1063,2013,4
FORTRAN,725,878,2013,4
XSLT,1100,1618,2013,4
Go,9298,13625,2013,4
Scheme,967,1289,2013,4
Arduino,3199,3598,2013,4
Scala,7386,10257,2013,4
D,1339,1819,2013,4
Matlab,3338,3947,2013,4
Groovy,2992,4056,2013,4
Perl,13635,18158,2013,4
R,4944,5384,2013,4
Haskell,5496,7574,2013,4
Dart,1154,1566,2013,4
Puppet,2905,6454,2013,4
Common Lisp,1440,1786,2013,4
Visual Basic,1668,1954,2013,4
Clojure,4745,8049,2013,4
VimL,5423,20813,2013,4
Julia,514,902,2013,4
Lua,4843,6680,2013,4
Emacs Lisp,3048,8277,2013,4
Assembly,1353,1622,2013,4
TypeScript,1238,2114,2013,4
F#,649,900,2013,4
ActionScript,3144,3807,2013,4
VHDL,434,526,2013,4
Coq,134,180,2013,4
Erlang,2688,4701,2013,4
Xtend,50,64,2013,4
Verilog,565,643,2013,4
Haxe,584,866,2013,4
Racket,759,958,2013,4
OCaml,1218,1758,2013,4
Pascal,851,977,2013,4
M,187,212,2013,4
Logos,1530,1693,2013,4
Vala,224,298,2013,4
ASP,987,1128,2013,4
Processing,1446,1793,2013,4
SuperCollider,172,193,2013,4
PowerShell,1018,1378,2013,4
Tcl,409,480,2013,4
DOT,281,326,2013,4
Lasso,44,216,2013,4
Objective-J,79,106,2013,4
Parrot,7,15,2013,4
Kotlin,72,82,2013,4
Prolog,880,985,2013,4
ColdFusion,384,507,2013,4
Elixir,536,822,2013,4
Nimrod,92,127,2013,4
AppleScript,183,217,2013,4
Delphi,183,200,2013,4
Nemerle,75,111,2013,4
Eiffel,84,108,2013,4
Standard ML,265,344,2013,4
Scilab,91,97,2013,4
Smalltalk,117,154,2013,4
Slash,44,49,2013,4
XML,137,173,2013,4
LiveScript,235,279,2013,4
Awk,21,21,2013,1
ooc,39,46,2013,1
OpenEdge ABL,179,211,2013,4
XQuery,99,122,2013,4
PogoScript,18,20,2013,4
AutoHotkey,328,411,2013,4
Apex,334,370,2013,4
Dylan,24,43,2013,4
Ada,147,169,2013,4
Ceylon,42,63,2013,4
ooc,37,41,2013,4
Awk,95,110,2013,4
Gosu,111,123,2013,4
Arc,32,34,2013,4
Io,63,71,2013,4
HaXe,149,158,2013,4
Fancy,2,2,2013,1
Pure Data,95,109,2012,4
Ecl,5,10,2012,4
Arc,14,17,2012,4
Gosu,37,38,2012,4
Nemerle,29,38,2012,4
Self,5,10,2012,4
LiveScript,137,169,2013,3
Coq,117,152,2013,3
ColdFusion,408,550,2013,3
ooc,27,31,2013,3
XML,205,260,2013,3
M,161,174,2013,3
Objective-J,69,94,2013,3
Rebol,9,11,2012,2
ooc,42,49,2012,2
CSS,58774,68093,2013,3
Lasso,33,132,2013,3
Xtend,48,50,2013,3
DOT,192,226,2013,3
Io,74,79,2013,3
AppleScript,165,193,2013,3
Ada,121,134,2013,3
Augeas,7,20,2013,3
Eiffel,59,88,2013,3
XC,25,29,2013,3
Kotlin,51,64,2013,3
SuperCollider,179,197,2013,3
Nemerle,53,81,2013,3
Gosu,26,30,2012,2
Ioke,4,4,2012,2
Max/MSP,7,8,2012,2
Objective-J,50,70,2012,1
Coq,19,23,2012,1
Prolog,97,98,2012,1
Eiffel,20,32,2012,1
Elixir,18,26,2012,1
Rust,58,97,2012,1
Visual Basic,144,159,2012,1
SuperCollider,36,37,2012,1
Ioke,5,5,2012,1
XQuery,27,30,2012,1
Factor,6,10,2012,1
Smalltalk,23,28,2012,1
Pure Data,28,30,2012,1
Ada,15,17,2012,1
Scilab,9,9,2012,1
Boo,23,26,2012,3
Rebol,5,7,2012,1
Nimrod,4,5,2012,1
PowerShell,29,33,2012,1
Turing,7,7,2012,1
Fancy,7,7,2012,2
Dylan,31,55,2012,4
Ioke,2,2,2012,4
Forth,4,4,2013,1
Pike,6,6,2013,1
VHDL,315,379,2013,3
Rebol,25,29,2013,3
Pure Data,135,142,2013,3
Fantom,5,5,2013,1
Ioke,3,3,2012,3
Ecl,7,9,2013,2
Nimrod,37,66,2013,3
Parrot,8,20,2013,3
MoonScript,29,30,2013,3
MoonScript,29,30,2013,4
Self,6,10,2013,4
Factor,16,21,2013,4
Pure Data,148,157,2013,4
Elm,59,63,2013,4
Ecl,10,20,2013,4
XProc,11,13,2013,4
Mirah,9,11,2013,4
XC,59,86,2013,4
Ragel in Ruby Host,14,19,2013,4
Logtalk,5,6,2013,4
Arc,14,20,2013,3
Factor,21,31,2013,3
Bro,24,30,2013,3
Ragel in Ruby Host,9,12,2013,3
Squirrel,61,74,2013,4
CLIPS,24,25,2013,4
Bro,32,48,2013,4
DCPU-16 ASM,12,12,2013,4
Scilab,60,74,2013,3
Pascal,182,193,2013,3
Gosu,112,121,2013,3
Monkey,18,18,2013,3
Logtalk,4,5,2013,3
Squirrel,9,9,2013,3
Max,8,8,2012,4
Ceylon,8,12,2012,4
Nimrod,10,12,2012,4
Ceylon,4,4,2012,3
Volt,9,9,2014,2
COBOL,31,40,2014,1
Mathematica,39,44,2014,2
Rebol,31,39,2014,1
Inform 7,21,38,2014,3
ANTLR,51,73,2014,1
GAMS,5,5,2014,2
ooc,24,34,2014,3
Zephir,14,17,2014,3
REALbasic,10,17,2014,3
Cirru,2,3,2014,3
Forth,13,13,2014,3
J,25,29,2014,2
Squirrel,64,71,2014,3
Dogescript,5,8,2014,2
Monkey,32,36,2014,2
Hy,19,20,2014,2
Mirah,5,7,2014,3
Oxygene,15,15,2014,2
PogoScript,9,10,2014,2
Mirah,28,33,2014,1
Nu,37,40,2014,1
XProc,11,12,2014,3
Boo,14,19,2014,3
MoonScript,13,15,2013,2
Ragel in Ruby Host,10,12,2013,2
Mirah,13,13,2013,2
Fantom,5,5,2013,2
Augeas,6,22,2013,2
PogoScript,9,15,2013,2
Turing,11,15,2013,1
Boo,47,58,2014,1
XProc,16,29,2014,1
Augeas,9,25,2012,4
AppleScript,39,40,2012,3
Arc,8,12,2012,1
Self,1,2,2012,3
Bro,15,16,2012,3
Augeas,3,8,2012,2
Boo,15,23,2012,2
Max/MSP,1,1,2012,1
Max,94,96,2013,4
Boo,36,43,2013,4
Forth,8,9,2013,2
Ceylon,14,23,2013,2
Slash,33,38,2013,3
PogoScript,7,9,2013,3
XProc,6,7,2013,3
Opa,13,13,2013,3
DCPU-16 ASM,19,19,2013,3
eC,5,6,2013,3
Pike,10,12,2013,3
Fancy,5,5,2013,3
Ecl,8,24,2013,3
Bro,6,8,2012,2
Nu,17,17,2012,3
Boo,27,31,2013,3
Ceylon,18,25,2013,3
Mirah,7,9,2013,3
Monkey,28,30,2013,2
CLIPS,19,19,2013,2
Nu,8,8,2012,2
Clean,8,8,2014,2
Turing,10,11,2014,2
Ragel in Ruby Host,14,43,2014,1
Alloy,26,28,2014,3
Clean,3,3,2014,3
Rouge,3,3,2014,2
Fancy,3,4,2014,2
Volt,6,6,2014,3
DCPU-16 ASM,29,31,2014,1
Nu,13,13,2014,2
J,12,14,2014,3
Rebol,30,33,2013,4
J,11,12,2013,4
PogoScript,23,34,2014,1
Ioke,13,25,2014,1
Turing,18,27,2014,1
Mirah,10,10,2012,3
Nu,18,19,2013,2
Pike,20,20,2013,2
Io,20,21,2012,1
Modelica,42,43,2012,1
Boo,10,12,2012,1
Opa,16,19,2012,1
wisp,4,4,2013,3
Augeas,6,14,2012,3
Max,8,8,2013,3
Max,9,10,2013,2
Parrot,5,7,2012,1
Bro,2,2,2012,1
ooc,3,3,2012,1
Opa,16,18,2013,2
ABAP,6,7,2013,2
Augeas,8,27,2013,4
Monkey,19,19,2013,4
COBOL,24,26,2013,4
Fantom,5,5,2013,4
Gosu,8,10,2012,1
Fancy,1,1,2012,1
Dylan,7,9,2012,1
DCPU-16 Assembly,2,2,2012,2
Nu,11,13,2013,3
Ioke,3,3,2013,2
Fantom,3,3,2012,2
Nu,4,4,2012,1
Opa,24,29,2012,4
RobotFramework,6,8,2014,1
DCPU-16 ASM,10,10,2014,2
PogoScript,9,9,2014,3
Nix,3,4,2014,2
ABAP,14,28,2014,1
Forth,21,31,2014,1
TeX,2883,3476,2013,4
DM,34,139,2013,4
AutoIt,37,42,2013,4
xBase,18,20,2013,4
NetLogo,25,25,2013,4
BlitzBasic,65,105,2013,4
Oxygene,216,242,2013,4
ooc,31,38,2013,2
Fantom,6,6,2012,4
Max,2,2,2012,3
Nu,13,13,2012,4
eC,2,2,2012,4
CLIPS,13,14,2013,3
Pike,12,14,2013,4
Forth,12,13,2013,4
Harbour,5,5,2014,2
Nit,2,2,2014,3
Grace,2,2,2014,3
wisp,5,5,2014,3
Turing,6,6,2013,3
Ecl,2,5,2012,3
Nu,10,10,2013,1
Fancy,14,19,2014,1
Logtalk,2,2,2012,1
Nu,22,24,2013,4
Fantom,1,1,2012,1
ooc,9,10,2014,2
Cirru,2,3,2014,2
Rouge,6,9,2014,1
RobotFramework,6,6,2014,3
Fantom,3,3,2014,3
Oxygene,9,9,2014,3
eC,2,2,2012,2
Bro,13,15,2013,2
TXL,1,1,2013,1
ABAP,1,1,2013,1
Opa,14,14,2013,1
eC,8,22,2014,1
IDL,49,51,2013,4
Brightscript,9,14,2013,4
Perl6,7,8,2013,4
Agda,31,33,2013,4
ANTLR,9,13,2013,4
eC,3,3,2013,4
nesC,74,102,2013,4
Bluespec,2,3,2013,4
UnrealScript,24,24,2013,4
Crystal,2,3,2013,4
ABAP,5,6,2013,3
KRL,7,7,2013,4
Idris,15,19,2013,4
TXL,1,1,2013,4
Fancy,3,3,2013,2
Self,2,2,2012,1
Rouge,3,3,2013,3
Harbour,3,3,2014,3
REALbasic,6,9,2013,4
Turing,8,10,2013,4
wisp,2,3,2013,4
Opa,13,13,2013,4
Mirah,16,16,2012,4
Max/MSP,1,1,2013,1
Apex,8,8,2012,1
Kotlin,1,1,2012,1
Glyph,9,10,2013,4
Omgrofl,1,1,2013,3
Fancy,3,4,2013,4
Self,3,3,2014,3
Shen,1,1,2014,2
Clean,4,5,2013,4
Bro,9,13,2012,4
Rouge,3,3,2013,2
Fantom,28,32,2014,1
eC,2,2,2014,3
Opa,15,15,2014,2
ABAP,5,7,2013,4
Omgrofl,1,1,2013,2
Turing,8,9,2014,3
Shen,2,2,2014,3
Grammatical Framework,6,9,2014,3
Self,7,11,2013,3
Volt,2,2,2013,4
Self,2,3,2013,2
eC,5,5,2013,2
Rouge,2,2,2013,4
Max/MSP,3,3,2012,3
Mirah,4,4,2012,1
Ragel in Ruby Host,7,9,2014,3
Ioke,4,4,2013,4
Opa,6,7,2014,3
RobotFramework,1,1,2013,4
eC,1,3,2012,3
Ox,1,1,2014,2
COBOL,3,3,2013,3
Powershell,3,3,2012,2
TXL,2,4,2014,1
Omgrofl,4,4,2014,1
Ioke,1,1,2013,3
wisp,2,2,2013,2
Ioke,1,1,2014,3
Fantom,2,2,2013,3
Fancy,1,1,2014,3
Moocode,1,1,2014,3
Ragel in Ruby Host,2,2,2013,1
DCPU-16 ASM,2,2,2014,3
E,1,1,2014,2
Ioke,1,1,2014,2
Omgrofl,1,1,2014,2
TXL,1,1,2014,2
Omgrofl,1,1,2013,4
Ox,2,2,2014,3
Zimpl,1,2,2014,3
E,1,1,2014,3
Moocode,1,1,2014,2
